ANNO,CODICE_MESE,NOME_MESE,CODICE_PRODOTTO,NOME_PRODOTTO,PREZZO,IVA,ACCISA,NETTO
2001,11,Novembre,2,"Gasolio auto",855.06,142.51,400.34,312.21
2001,12,Dicembre,2,"Gasolio auto",839.21,139.87,403.21,296.13
2002,1,Gennaio,2,"Gasolio auto",836.14,139.35,403.21,293.57
2002,2,Febbraio,2,"Gasolio auto",837.04,139.51,403.21,294.32
2002,3,Marzo,2,"Gasolio auto",844.64,140.77,403.21,300.66
2002,4,Aprile,2,"Gasolio auto",866.36,144.39,403.21,318.76
2002,5,Maggio,2,"Gasolio auto",868.07,144.68,403.21,320.18
2002,6,Giugno,2,"Gasolio auto",857.43,142.9,403.21,311.32
2002,7,Luglio,2,"Gasolio auto",846.06,141.01,403.21,301.84
2002,8,Agosto,2,"Gasolio auto",842.69,140.45,403.21,299.03
2002,9,Settembre,2,"Gasolio auto",859.39,143.23,403.21,312.95
2002,10,Ottobre,2,"Gasolio auto",875.67,145.94,403.21,326.52
2002,11,Novembre,2,"Gasolio auto",864.11,144.02,403.21,316.88
2002,12,Dicembre,2,"Gasolio auto",864.37,144.06,403.21,317.1
2003,1,Gennaio,2,"Gasolio auto",891.6,148.6,403.21,339.79
2003,2,Febbraio,2,"Gasolio auto",906.23,151.04,403.21,351.98
2003,3,Marzo,2,"Gasolio auto",936.62,156.1,403.21,377.31
2003,4,Aprile,2,"Gasolio auto",906.74,151.12,403.21,352.4
2003,5,Maggio,2,"Gasolio auto",860.9,143.48,403.21,314.2
2003,6,Giugno,2,"Gasolio auto",845.88,140.98,403.21,301.69
2003,7,Luglio,2,"Gasolio auto",850.63,141.77,403.21,305.65
2003,8,Agosto,2,"Gasolio auto",865.55,144.26,403.21,318.08
2003,9,Settembre,2,"Gasolio auto",863.72,143.95,403.21,316.55
2003,10,Ottobre,2,"Gasolio auto",860.8,143.47,403.21,314.13
2003,11,Novembre,2,"Gasolio auto",873.95,145.66,403.21,325.08
2003,12,Dicembre,2,"Gasolio auto",869.89,144.98,403.21,321.7
2004,1,Gennaio,2,"Gasolio auto",875.28,145.88,403.21,326.19
2004,2,Febbraio,2,"Gasolio auto",872.51,145.42,403.21,323.88
2004,3,Marzo,2,"Gasolio auto",886.94,147.82,403.21,335.91
2004,4,Aprile,2,"Gasolio auto",899.36,149.89,403.21,346.25
2004,5,Maggio,2,"Gasolio auto",924.13,154.02,403.21,366.9
2004,6,Giugno,2,"Gasolio auto",937.48,156.25,403.21,378.02
2004,7,Luglio,2,"Gasolio auto",935.83,155.97,403.21,376.65
2004,8,Agosto,2,"Gasolio auto",954.81,159.13,403.21,392.47
2004,9,Settembre,2,"Gasolio auto",970.13,161.69,403.21,405.23
2004,10,Ottobre,2,"Gasolio auto",996.25,166.04,403.21,427
2004,11,Novembre,2,"Gasolio auto",996.73,166.12,403.21,427.4
2004,12,Dicembre,2,"Gasolio auto",1013.93,168.99,403.21,441.73
2005,1,Gennaio,2,"Gasolio auto",1009,168.16,403.21,437.62
2005,2,Febbraio,2,"Gasolio auto",1022.64,170.44,403.56,448.64
2005,3,Marzo,2,"Gasolio auto",1057.44,176.24,413,468.2
2005,4,Aprile,2,"Gasolio auto",1106.3,184.38,413,508.92
2005,5,Maggio,2,"Gasolio auto",1070.75,178.46,413,479.3
2005,6,Giugno,2,"Gasolio auto",1090.44,181.74,413,495.7
2005,7,Luglio,2,"Gasolio auto",1131.04,188.51,413,529.53
2005,8,Agosto,2,"Gasolio auto",1140.61,190.1,413,537.51
2005,9,Settembre,2,"Gasolio auto",1182.41,197.07,413,572.35
2005,10,Ottobre,2,"Gasolio auto",1211.12,201.85,413,596.27
2005,11,Novembre,2,"Gasolio auto",1144.61,190.77,413,540.84
2005,12,Dicembre,2,"Gasolio auto",1119.45,186.58,413,519.88
2006,1,Gennaio,2,"Gasolio auto",1146.96,191.16,413,542.8
2006,2,Febbraio,2,"Gasolio auto",1150.89,191.81,413,546.07
2006,3,Marzo,2,"Gasolio auto",1163.23,193.87,413,556.36
2006,4,Aprile,2,"Gasolio auto",1178.56,196.42,413,569.13
2006,5,Maggio,2,"Gasolio auto",1204.87,200.81,413,591.06
2006,6,Giugno,2,"Gasolio auto",1197,199.5,413,584.5
2006,7,Luglio,2,"Gasolio auto",1203.07,200.51,413,589.56
2006,8,Agosto,2,"Gasolio auto",1206.67,201.11,413,592.56
2006,9,Settembre,2,"Gasolio auto",1168.81,194.8,413,561.01
2006,10,Ottobre,2,"Gasolio auto",1119.64,186.61,415.23,517.81
2006,11,Novembre,2,"Gasolio auto",1115.58,185.93,416,513.66
2006,12,Dicembre,2,"Gasolio auto",1113.87,185.64,416,512.23
2007,1,Gennaio,2,"Gasolio auto",1099.4,183.23,416,500.17
2007,2,Febbraio,2,"Gasolio auto",1082.64,180.44,416,486.2
2007,3,Marzo,2,"Gasolio auto",1105.33,184.22,416,505.11
2007,4,Aprile,2,"Gasolio auto",1120.63,186.77,416,517.86
2007,5,Maggio,2,"Gasolio auto",1131,188.5,416,526.5
2007,6,Giugno,2,"Gasolio auto",1150.31,191.72,422.3,536.29
2007,7,Luglio,2,"Gasolio auto",1161.84,193.64,423,545.2
2007,8,Agosto,2,"Gasolio auto",1173.59,195.6,423,554.99
2007,9,Settembre,2,"Gasolio auto",1180.67,196.78,423,560.89
2007,10,Ottobre,2,"Gasolio auto",1205.28,200.88,423,581.4
2007,11,Novembre,2,"Gasolio auto",1252.41,208.74,423,620.67
2007,12,Dicembre,2,"Gasolio auto",1286.11,214.35,423,648.76
2008,1,Gennaio,2,"Gasolio auto",1277.74,212.96,423,641.78
2008,2,Febbraio,2,"Gasolio auto",1271.89,211.98,423,636.91
2008,3,Marzo,2,"Gasolio auto",1332.28,222.04,422.46,687.78
2008,4,Aprile,2,"Gasolio auto",1345.5,224.25,406.17,715.08
2008,5,Maggio,2,"Gasolio auto",1443.16,240.53,420.83,781.8
2008,6,Giugno,2,"Gasolio auto",1507.25,251.21,423,833.04
2008,7,Luglio,2,"Gasolio auto",1518.14,253.02,423,842.11
2008,8,Agosto,2,"Gasolio auto",1436.88,239.48,423,774.4
2008,9,Settembre,2,"Gasolio auto",1383.87,230.65,423,730.23
2008,10,Ottobre,2,"Gasolio auto",1301.48,216.91,423,661.57
2008,11,Novembre,2,"Gasolio auto",1194.82,199.14,423,572.69
2008,12,Dicembre,2,"Gasolio auto",1092.9,182.15,423,487.75
2009,1,Gennaio,2,"Gasolio auto",1051.4,175.23,423,453.17
2009,2,Febbraio,2,"Gasolio auto",1056.72,176.12,423,457.6
2009,3,Marzo,2,"Gasolio auto",1022.79,170.46,423,429.33
2009,4,Aprile,2,"Gasolio auto",1041.44,173.57,423,444.87
2009,5,Maggio,2,"Gasolio auto",1061.58,176.93,423,461.65
2009,6,Giugno,2,"Gasolio auto",1096.02,182.67,423,490.35
2009,7,Luglio,2,"Gasolio auto",1086.2,181.03,423,482.17
2009,8,Agosto,2,"Gasolio auto",1117.38,186.23,423,508.15
2009,9,Settembre,2,"Gasolio auto",1096.09,182.68,423,490.41
2009,10,Ottobre,2,"Gasolio auto",1095.73,182.62,423,490.11
2009,11,Novembre,2,"Gasolio auto",1126.04,187.67,423,515.36
2009,12,Dicembre,2,"Gasolio auto",1114.67,185.78,423,505.89
2010,1,Gennaio,2,"Gasolio auto",1145.25,190.87,423,531.37
2010,2,Febbraio,2,"Gasolio auto",1142.32,190.38,423,528.94
2010,3,Marzo,2,"Gasolio auto",1189.58,198.26,423,568.32
2010,4,Aprile,2,"Gasolio auto",1215.83,202.64,423,590.19
2010,5,Maggio,2,"Gasolio auto",1241.21,206.87,423,611.34
2010,6,Giugno,2,"Gasolio auto",1236.3,206.05,423,607.25
2010,7,Luglio,2,"Gasolio auto",1215.31,202.55,423,589.76
2010,8,Agosto,2,"Gasolio auto",1211.44,201.91,423,586.53
2010,9,Settembre,2,"Gasolio auto",1217.18,202.86,423,591.32
2010,10,Ottobre,2,"Gasolio auto",1221.46,203.58,423,594.89
2010,11,Novembre,2,"Gasolio auto",1242.84,207.14,423,612.7
2010,12,Dicembre,2,"Gasolio auto",1286.38,214.4,423,648.99
2011,1,Gennaio,2,"Gasolio auto",1328.14,221.36,423,683.78
2011,2,Febbraio,2,"Gasolio auto",1351.26,225.21,423,703.05
2011,3,Marzo,2,"Gasolio auto",1416.73,236.12,423,757.61
2011,4,Aprile,2,"Gasolio auto",1448.06,241.34,427.87,778.85
2011,5,Maggio,2,"Gasolio auto",1423.26,237.21,430.3,755.76
2011,6,Giugno,2,"Gasolio auto",1402.52,233.75,430.3,738.46
2011,7,Luglio,2,"Gasolio auto",1450.28,241.71,472.2,736.37
2011,8,Agosto,2,"Gasolio auto",1461.04,243.51,472.2,745.34
2011,9,Settembre,2,"Gasolio auto",1465.79,248.39,472.2,745.2
2011,10,Ottobre,2,"Gasolio auto",1483.92,257.54,472.2,754.18
2011,11,Novembre,2,"Gasolio auto",1512.89,262.57,481.1,769.22
2011,12,Dicembre,2,"Gasolio auto",1631.65,283.18,571.5,776.97
2012,1,Gennaio,2,"Gasolio auto",1671.71,290.13,593.2,788.37
2012,2,Febbraio,2,"Gasolio auto",1692.94,293.81,593.2,805.92
2012,3,Marzo,2,"Gasolio auto",1724.27,299.25,593.2,831.82
2012,4,Aprile,2,"Gasolio auto",1735.05,301.12,593.2,840.72
2012,5,Maggio,2,"Gasolio auto",1703.01,295.56,593.2,814.25
2012,6,Giugno,2,"Gasolio auto",1657.23,287.62,606.53,763.08
2012,7,Luglio,2,"Gasolio auto",1647.02,285.85,613.2,747.98
2012,8,Agosto,2,"Gasolio auto",1716.81,297.96,614.83,804.03
2012,9,Settembre,2,"Gasolio auto",1764.22,306.19,617.4,840.63
2012,10,Ottobre,2,"Gasolio auto",1745.65,302.96,617.4,825.29
2012,11,Novembre,2,"Gasolio auto",1712.85,297.27,617.4,798.18
2012,12,Dicembre,2,"Gasolio auto",1701.11,295.23,617.4,788.48
2013,1,Gennaio,2,"Gasolio auto",1694.38,294.06,617.4,782.91
2013,2,Febbraio,2,"Gasolio auto",1699.67,294.98,617.4,787.29
2013,3,Marzo,2,"Gasolio auto",1693.94,293.99,617.4,782.55
2013,4,Aprile,2,"Gasolio auto",1651.11,286.56,617.4,747.15
2013,5,Maggio,2,"Gasolio auto",1612.31,279.82,617.4,715.09
2013,6,Giugno,2,"Gasolio auto",1626.46,282.28,617.4,726.78
2013,7,Luglio,2,"Gasolio auto",1644.02,285.33,617.4,741.29
2013,8,Agosto,2,"Gasolio auto",1658.04,287.76,617.4,752.88
2013,9,Settembre,2,"Gasolio auto",1676.67,290.99,617.4,768.28
2013,10,Ottobre,2,"Gasolio auto",1659.69,299.29,617.4,743
2013,11,Novembre,2,"Gasolio auto",1636.63,295.13,617.4,724.1
2013,12,Dicembre,2,"Gasolio auto",1656.56,298.73,617.4,740.43
2014,1,Gennaio,2,"Gasolio auto",1648.99,297.36,617.4,734.23
2014,2,Febbraio,2,"Gasolio auto",1637.83,295.34,617.4,725.08
2014,3,Marzo,2,"Gasolio auto",1631.47,294.2,619.8,717.47
2014,4,Aprile,2,"Gasolio auto",1628.55,293.67,619.8,715.08
2014,5,Maggio,2,"Gasolio auto",1630.68,294.06,619.8,716.82
2014,6,Giugno,2,"Gasolio auto",1632.08,294.31,619.8,717.98
2014,7,Luglio,2,"Gasolio auto",1635.64,294.95,619.8,720.89
2014,8,Agosto,2,"Gasolio auto",1621.61,292.42,619.8,709.39
2014,9,Settembre,2,"Gasolio auto",1614.78,291.19,619.8,703.79
2014,10,Ottobre,2,"Gasolio auto",1593.24,287.31,619.8,686.13
2014,11,Novembre,2,"Gasolio auto",1553.45,280.13,619.8,653.52
2014,12,Dicembre,2,"Gasolio auto",1493.47,269.31,619.8,604.36
2015,1,Gennaio,2,"Gasolio auto",1387.26,250.16,617.4,519.7
2015,2,Febbraio,2,"Gasolio auto",1400.39,252.53,617.4,530.46
2015,3,Marzo,2,"Gasolio auto",1462.26,263.69,617.4,581.18
2015,4,Aprile,2,"Gasolio auto",1447.72,261.06,617.4,569.26
2015,5,Maggio,2,"Gasolio auto",1480.2,266.92,617.4,595.88
2015,6,Giugno,2,"Gasolio auto",1477.54,266.44,617.4,593.7
2015,7,Luglio,2,"Gasolio auto",1451.55,261.76,617.4,572.4
2015,8,Agosto,2,"Gasolio auto",1398.76,252.23,617.4,529.12
2015,9,Settembre,2,"Gasolio auto",1360.03,245.25,617.4,497.37
2015,10,Ottobre,2,"Gasolio auto",1348.4,243.15,617.4,487.84
2015,11,Novembre,2,"Gasolio auto",1340.52,241.73,617.4,481.38
2015,12,Dicembre,2,"Gasolio auto",1308.85,236.02,617.4,455.43
2016,1,Gennaio,2,"Gasolio auto",1232.82,222.31,617.4,393.11
2016,2,Febbraio,2,"Gasolio auto",1192.42,215.03,617.4,359.99
2016,3,Marzo,2,"Gasolio auto",1225.1,220.92,617.4,386.78
2016,4,Aprile,2,"Gasolio auto",1237.68,223.19,617.4,397.09
2016,5,Maggio,2,"Gasolio auto",1276.22,230.14,617.4,428.68
2016,6,Giugno,2,"Gasolio auto",1319.02,237.86,617.4,463.76
2016,7,Luglio,2,"Gasolio auto",1306.53,235.6,617.4,453.52
2016,8,Agosto,2,"Gasolio auto",1288.19,232.3,617.4,438.49
2016,9,Settembre,2,"Gasolio auto",1300.44,234.51,617.4,448.54
2016,10,Ottobre,2,"Gasolio auto",1320.99,238.21,617.4,465.38
2016,11,Novembre,2,"Gasolio auto",1327.16,239.32,617.4,470.44
2016,12,Dicembre,2,"Gasolio auto",1351.85,243.78,617.4,490.68
2017,1,Gennaio,2,"Gasolio auto",1398.15,252.13,617.4,528.62
2017,2,Febbraio,2,"Gasolio auto",1399.85,252.43,617.4,530.02
2017,3,Marzo,2,"Gasolio auto",1393.97,251.37,617.4,525.2
2017,4,Aprile,2,"Gasolio auto",1403.33,253.06,617.4,532.87
2017,5,Maggio,2,"Gasolio auto",1379.64,248.79,617.4,513.45
2017,6,Giugno,2,"Gasolio auto",1352,243.81,617.4,490.8
2017,7,Luglio,2,"Gasolio auto",1338.28,241.33,617.4,479.55
2017,8,Agosto,2,"Gasolio auto",1354.31,244.22,617.4,492.69
2017,9,Settembre,2,"Gasolio auto",1373.19,247.62,617.4,508.17
2017,10,Ottobre,2,"Gasolio auto",1387.45,250.2,617.4,519.86
2017,11,Novembre,2,"Gasolio auto",1413.08,254.82,617.4,540.86
2017,12,Dicembre,2,"Gasolio auto",1421.13,256.27,617.4,547.46
2018,1,Gennaio,2,"Gasolio auto",1443.27,260.26,617.4,565.6
2018,2,Febbraio,2,"Gasolio auto",1431.05,258.06,617.4,555.59
2018,3,Marzo,2,"Gasolio auto",1423.58,256.71,617.4,549.47
2018,4,Aprile,2,"Gasolio auto",1446.49,260.84,617.4,568.25
2018,5,Maggio,2,"Gasolio auto",1499.35,270.38,617.4,611.57
2018,6,Giugno,2,"Gasolio auto",1521.33,274.34,617.4,629.59
2018,7,Luglio,2,"Gasolio auto",1508.74,272.07,617.4,619.27
2018,8,Agosto,2,"Gasolio auto",1507.16,271.78,617.4,617.97
2018,9,Settembre,2,"Gasolio auto",1524.96,274.99,617.4,632.57
2018,10,Ottobre,2,"Gasolio auto",1561.65,281.61,617.4,662.64
2018,11,Novembre,2,"Gasolio auto",1537.65,277.28,617.4,642.97
2018,12,Dicembre,2,"Gasolio auto",1451.15,261.68,617.4,572.06
2019,1,Gennaio,2,"Gasolio auto",1434.73,258.72,617.4,558.61
2019,2,Febbraio,2,"Gasolio auto",1465.66,264.3,617.4,583.96
2019,3,Marzo,2,"Gasolio auto",1495.22,269.63,617.4,608.19
2019,4,Aprile,2,"Gasolio auto",1509.64,272.23,617.4,620.01
2019,5,Maggio,2,"Gasolio auto",1519.1,273.94,617.4,627.76
2019,6,Giugno,2,"Gasolio auto",1487.83,268.3,617.4,602.13
2019,7,Luglio,2,"Gasolio auto",1482.29,267.3,617.4,597.59
2019,8,Agosto,2,"Gasolio auto",1462.04,263.65,617.4,580.99
2019,9,Settembre,2,"Gasolio auto",1471.41,265.34,617.4,588.67
2019,10,Ottobre,2,"Gasolio auto",1471.85,265.42,617.4,589.03
2019,11,Novembre,2,"Gasolio auto",1471.31,265.32,617.4,588.59
2019,12,Dicembre,2,"Gasolio auto",1482.48,267.33,617.4,597.75
2020,1,Gennaio,2,"Gasolio auto",1485.18,267.82,617.4,599.96
2020,2,Febbraio,2,"Gasolio auto",1443.14,260.24,617.4,565.5
2020,3,Marzo,2,"Gasolio auto",1378.22,248.53,617.4,512.29
2020,4,Aprile,2,"Gasolio auto",1302.41,234.86,617.4,450.15
2020,5,Maggio,2,"Gasolio auto",1255.59,226.42,617.4,411.77
2020,6,Giugno,2,"Gasolio auto",1272.46,229.46,617.4,425.6
2020,7,Luglio,2,"Gasolio auto",1289.58,232.55,617.4,439.63
2020,8,Agosto,2,"Gasolio auto",1285.02,231.73,617.4,435.89
2020,9,Settembre,2,"Gasolio auto",1270.81,229.16,617.4,424.25
2020,10,Ottobre,2,"Gasolio auto",1259.33,227.09,617.4,414.84
2020,11,Novembre,2,"Gasolio auto",1261.41,227.47,617.4,416.54
2020,12,Dicembre,2,"Gasolio auto",1300.32,234.48,617.4,448.44
2021,1,Gennaio,2,"Gasolio auto",1338.3,241.33,617.4,479.57
2021,2,Febbraio,2,"Gasolio auto",1383.24,249.44,617.4,516.4
2021,3,Marzo,2,"Gasolio auto",1435.78,258.91,617.4,559.47
2021,4,Aprile,2,"Gasolio auto",1436.73,259.08,617.4,560.25
2021,5,Maggio,2,"Gasolio auto",1449.34,261.36,617.4,570.58
2021,6,Giugno,2,"Gasolio auto",1473.4,265.7,617.4,590.3
2021,7,Luglio,2,"Gasolio auto",1508.34,272,617.4,618.94
2021,8,Agosto,2,"Gasolio auto",1505.36,271.46,617.4,616.5
2021,9,Settembre,2,"Gasolio auto",1517.29,273.61,617.4,626.28
2021,10,Ottobre,2,"Gasolio auto",1589.65,286.66,617.4,685.59
2021,11,Novembre,2,"Gasolio auto",1610.48,290.41,617.4,702.67
2021,12,Dicembre,2,"Gasolio auto",1589.3,286.6,617.4,685.3
2022,1,Gennaio,2,"Gasolio auto",1632.1,294.32,617.4,720.38
2022,2,Febbraio,2,"Gasolio auto",1720.36,310.23,617.4,792.73
2022,3,Marzo,2,"Gasolio auto",1970.59,355.35,528.69,1086.55
2022,4,Aprile,2,"Gasolio auto",1768.74,318.96,367.4,1082.38
2022,5,Maggio,2,"Gasolio auto",1823.65,328.86,367.4,1127.39
2022,6,Giugno,2,"Gasolio auto",1972.46,355.69,367.4,1249.37
2022,7,Luglio,2,"Gasolio auto",1927.35,347.55,367.4,1212.4
2022,8,Agosto,2,"Gasolio auto",1785.85,322.04,367.4,1096.41
2022,9,Settembre,2,"Gasolio auto",1793.12,323.35,367.4,1102.37
2022,10,Ottobre,2,"Gasolio auto",1846.97,333.06,367.4,1146.51
2022,11,Novembre,2,"Gasolio auto",1810.59,326.5,367.4,1116.69
2022,12,Dicembre,2,"Gasolio auto",1727.25,311.47,467.4,948.38
2023,1,Gennaio,2,"Gasolio auto",1880.54,339.11,617.4,924.03
2023,2,Febbraio,2,"Gasolio auto",1845.84,332.86,617.4,895.58
2023,3,Marzo,2,"Gasolio auto",1799.5,324.5,617.4,857.6
2023,4,Aprile,2,"Gasolio auto",1748.82,315.36,617.4,816.06
